"word","sentiment"
"good","positive"
"right","positive"
"good","positive"
"hot","positive"
"like","positive"
"like","positive"
"good","positive"
"love","positive"
"great","positive"
"warm","positive"
"fresh","positive"
"good","positive"
"good","positive"
"love","positive"
"fast","positive"
"fresh","positive"
"great","positive"
"good","positive"
"love","positive"
"good","positive"
"love","positive"
"great","positive"
"fresh","positive"
"fresh","positive"
"hot","positive"
"enjoy","positive"
"thank","positive"
"love","positive"
"lemon","negative"
"like","positive"
"disappoint","negative"
"love","positive"
"lemon","negative"
"good","positive"
"good","positive"
"love","positive"
"like","positive"
"good","positive"
"classic","positive"
"good","positive"
"cold","negative"
"mess","negative"
"good","positive"
"fresh","positive"
"mess","negative"
"good","positive"
"mad","negative"
"great","positive"
"bad","negative"
"like","positive"
"best","positive"
"hot","positive"
"perfect","positive"
"fresh","positive"
"well","positive"
"good","positive"
"sever","negative"
"good","positive"
"tender","positive"
"marvel","positive"
"die","negative"
"excelent","positive"
"good","positive"
"great","positive"
"hot","positive"
"great","positive"
"good","positive"
"hot","positive"
"good","positive"
"good","positive"
"great","positive"
"well","positive"
"worth","positive"
"good","positive"
"fresh","positive"
"disappoint","negative"
"bomb","negative"
"great","positive"
"best","positive"
"good","positive"
"cheaper","positive"
"great","positive"
"good","positive"
"good","positive"
"good","positive"
"love","positive"
"excel","positive"
"perfect","positive"
"best","positive"
"good","positive"
"well","positive"
"good","positive"
"super","positive"
"good","positive"
"right","positive"
"great","positive"
"well","positive"
"fresh","positive"
"great","positive"
"good","positive"
"super","positive"
"good","positive"
"right","positive"
"great","positive"
"well","positive"
"fresh","positive"
"great","positive"
"good","positive"
"great","positive"
"great","positive"
"hot","positive"
"like","positive"
"fresh","positive"
"hot","positive"
"thank","positive"
"super","positive"
"good","positive"
"best","positive"
"lemon","negative"
"bomb","negative"
"wrong","negative"
"love","positive"
"good","positive"
"great","positive"
"great","positive"
"love","positive"
"miss","negative"
"good","positive"
"great","positive"
"wrong","negative"
"great","positive"
"well","positive"
"great","positive"
"great","positive"
"good","positive"
"good","positive"
"great","positive"
"good","positive"
"great","positive"
"fast","positive"
"fresh","positive"
"hot","positive"
"excel","positive"
"thank","positive"
"good","positive"
"nice","positive"
"good","positive"
"fresh","positive"
"good","positive"
"recommend","positive"
"good","positive"
"good","positive"
"sever","negative"
"great","positive"
"great","positive"
"well","positive"
"complaint","negative"
"fav","positive"
"wrong","negative"
"good","positive"
"good","positive"
"great","positive"
"hot","positive"
"bland","negative"
"recommend","positive"
"drunken","negative"
"best","positive"
"love","positive"
"warm","positive"
"great","positive"
"good","positive"
"great","positive"
"work","positive"
"decent","positive"
"nice","positive"
"tender","positive"
"enough","positive"
"good","positive"
"best","positive"
"love","positive"
"great","positive"
"best","positive"
"smoke","negative"
"good","positive"
"superb","positive"
"comfort","positive"
"love","positive"
"regret","negative"
"fresh","positive"
"great","positive"
"good","positive"
"great","positive"
"super","positive"
"fast","positive"
"love","positive"
"good","positive"
"good","positive"
"fresh","positive"
"great","positive"
"love","positive"
"good","positive"
"great","positive"
"right","positive"
"right","positive"
"thank","positive"
"super","positive"
"impress","positive"
"great","positive"
"love","positive"
"excel","positive"
"recommend","positive"
"good","positive"
"compliment","positive"
"well","positive"
"pleasant","positive"
"good","positive"
"love","positive"
"good","positive"
"work","positive"
"great","positive"
"good","positive"
"best","positive"
"love","positive"
"super","positive"
"thank","positive"
"great","positive"
"dope","negative"
"great","positive"
"sweet","positive"
"sour","negative"
"great","positive"
"gooood","positive"
"great","positive"
"perfect","positive"
"well","positive"
"love","positive"
"great","positive"
"well","positive"
"great","positive"
"great","positive"
"best","positive"
"miss","negative"
"weird","negative"
"solid","positive"
"good","positive"
"best","positive"
"great","positive"
"wonder","positive"
"great","positive"
"well","positive"
"nice","positive"
"great","positive"
"patient","positive"
"great","positive"
"love","positive"
"best","positive"
"best","positive"
"slap","negative"
"best","positive"
"well","positive"
"good","positive"
"best","positive"
"best","positive"
"slow","negative"
"good","positive"
"good","positive"
"like","positive"
"great","positive"
"good","positive"
"good","positive"
"good","positive"
"good","positive"
"good","positive"
"love","positive"
"bad","negative"
"excel","positive"
"best","positive"
"warm","positive"
"excel","positive"
"love","positive"
"perfect","positive"
"best","positive"
"best","positive"
"slow","negative"
"fresh","positive"
"perfect","positive"
"thank","positive"
"good","positive"
"good","positive"
"best","positive"
"good","positive"
"love","positive"
"good","positive"
"sweet","positive"
"well","positive"
"best","positive"
"good","positive"
"good","positive"
"great","positive"
"perfect","positive"
"good","positive"
"wanton","negative"
"recommend","positive"
"excel","positive"
"wrong","negative"
"love","positive"
"pan","negative"
"good","positive"
"great","positive"
"great","positive"
"well","positive"
"best","positive"
"best","positive"
"love","positive"
"recommend","positive"
"recommend","positive"
"correct","positive"
"enjoy","positive"
"enough","positive"
"great","positive"
"great","positive"
"great","positive"
"freak","negative"
"good","positive"
"obsess","negative"
"perfect","positive"
"love","positive"
"good","positive"
"best","positive"
"good","positive"
"trust","positive"
"good","positive"
"great","positive"
"good","positive"
"fresh","positive"
"fresh","positive"
"clean","positive"
"stale","negative"
"excel","positive"
"shit","negative"
"bomb","negative"
"trust","positive"
"love","positive"
"shit","negative"
"bomb","negative"
"trust","positive"
"love","positive"
"love","positive"
"fair","positive"
"good","positive"
"solid","positive"
"like","positive"
"slap","negative"
"split","negative"
"fresh","positive"
"die","negative"
"like","positive"
"good","positive"
"great","positive"
"thank","positive"
"good","positive"
"tender","positive"
"tender","positive"
"disgust","negative"
"good","positive"
"nice","positive"
"good","positive"
"nice","positive"
"good","positive"
"love","positive"
"thank","positive"
"great","positive"
"hard","negative"
"recommend","positive"
"wonder","positive"
"great","positive"
"good","positive"
"great","positive"
"excel","positive"
"love","positive"
"love","positive"
"split","negative"
"great","positive"
"love","positive"
"great","positive"
"good","positive"
"trust","positive"
"neat","positive"
"thank","positive"
"weird","negative"
"best","positive"
"disappoint","negative"
"die","negative"
"good","positive"
"spectacular","positive"
"punch","negative"
"great","positive"
"work","positive"
"nice","positive"
"well","positive"
"disappoint","negative"
"tender","positive"
"good","positive"
"bad","negative"
"best","positive"
"spectacular","positive"
"good","positive"
"support","positive"
"great","positive"
"great","positive"
"genial","positive"
"thank","positive"
"great","positive"
"fine","positive"
"exhaust","negative"
"good","positive"
"fast","positive"
"good","positive"
"fast","positive"
"great","positive"
"great","positive"
"good","positive"
"great","positive"
"fresh","positive"
"good","positive"
"smoke","negative"
"thank","positive"
"good","positive"
"well","positive"
"fail","negative"
"correct","positive"
"hot","positive"
"great","positive"
"great","positive"
"recommend","positive"
"best","positive"
"great","positive"
"love","positive"
"love","positive"
"good","positive"
"better","positive"
"slap","negative"
"wrong","negative"
"best","positive"
"love","positive"
"good","positive"
"better","positive"
"slap","negative"
"wrong","negative"
"best","positive"
"love","positive"
"good","positive"
"better","positive"
"slap","negative"
"wrong","negative"
"best","positive"
"super","positive"
"good","positive"
"love","positive"
"faster","positive"
"good","positive"
"bad","negative"
"die","negative"
"best","positive"
"great","positive"
"best","positive"
"best","positive"
"great","positive"
"good","positive"
"great","positive"
"good","positive"
"love","positive"
"like","positive"
"like","positive"
"like","positive"
"good","positive"
"warm","positive"
"gem","positive"
"love","positive"
"great","positive"
"great","positive"
"great","positive"
"great","positive"
"good","positive"
"good","positive"
"wrong","negative"
"solid","positive"
"love","positive"
"good","positive"
"best","positive"
"top","positive"
"perfect","positive"
"best","positive"
"great","positive"
"great","positive"
"great","positive"
"good","positive"
"best","positive"
"fresh","positive"
"wonder","positive"
"great","positive"
"good","positive"
"great","positive"
"fav","positive"
"best","positive"
"great","positive"
"fav","positive"
"best","positive"
"love","positive"
"reward","positive"
"best","positive"
"fair","positive"
"good","positive"
"best","positive"
"love","positive"
"good","positive"
"perfect","positive"
"excel","positive"
"good","positive"
"great","positive"
"fast","positive"
"great","positive"
"cold","negative"
"good","positive"
"good","positive"
"good","positive"
"bad","negative"
"super","positive"
"fresh","positive"
"fast","positive"
"right","positive"
"thank","positive"
"disgust","negative"
"good","positive"
"worth","positive"
"love","positive"
"crack","negative"
"good","positive"
"fast","positive"
"love","positive"
"good","positive"
"love","positive"
"good","positive"
"good","positive"
"good","positive"
"good","positive"
"wrong","negative"
"wrong","negative"
"fresh","positive"
"enjoy","positive"
"good","positive"
"great","positive"
"good","positive"
"good","positive"
"hard","negative"
"good","positive"
"great","positive"
"worst","negative"
"enjoy","positive"
"best","positive"
"excel","positive"
"fast","positive"
"fresh","positive"
"best","positive"
"worth","positive"
"bad","negative"
"good","positive"
"love","positive"
"great","positive"
"great","positive"
"perfect","positive"
"hot","positive"
"good","positive"
"like","positive"
"best","positive"
"great","positive"
"fast","positive"
"chic","positive"
"fresh","positive"
"nice","positive"
"great","positive"
"love","positive"
"good","positive"
"great","positive"
"good","positive"
"fresh","positive"
"love","positive"
"hot","positive"
"nice","positive"
"good","positive"
"good","positive"
"cheap","negative"
"cold","negative"
"hot","positive"
"good","positive"
"great","positive"
"miss","negative"
"wrong","negative"
"good","positive"
"right","positive"
"right","positive"
"difficult","negative"
"better","positive"
"hero","positive"
"right","positive"
"thank","positive"
"love","positive"
"worth","positive"
"love","positive"
"great","positive"
"great","positive"
"smack","negative"
"good","positive"
"best","positive"
"classic","positive"
"great","positive"
"good","positive"
"best","positive"
"classic","positive"
"great","positive"
"best","positive"
"obsess","negative"
"hot","positive"
"top","positive"
"great","positive"
"good","positive"
"good","positive"
"warm","positive"
"great","positive"
"good","positive"
"fresh","positive"
"hot","positive"
"great","positive"
"good","positive"
"good","positive"
